"city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10",NA,"Early Stage Startup","2",206,"0"
"city_114",0.926,"Male","No relevent experience","Part time course","High School",NA,"1","10000+","Other","1",152,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Phd","STEM",NA,"100-500","Pvt Ltd","4",42,"1"
"city_103",0.92,NA,"No relevent experience","no_enrollment","Graduate","STEM","12",NA,NA,"4",50,"0"
"city_71",0.884,"Male","No relevent experience","no_enrollment",NA,NA,"3",NA,NA,NA,106,"0"
"city_114",0.926,"Female","Has relevent experience","Full time course","Masters","STEM","16","1000-4999","Public Sector","2",14,"0"
"city_104",0.924,"Male","Has relevent experience","no_enrollment","High School",NA,"4",NA,"Pvt Ltd","2",36,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Masters","STEM","6","50-99","Early Stage Startup","1",112,"1"
"city_64",0.666,NA,"No relevent experience","no_enrollment","Graduate","No Major","9","50-99","Pvt Ltd",NA,108,"0"
"city_21",0.624,"Male","Has relevent experience","Part time course","Masters","STEM","9","5000-9999","Pvt Ltd","3",7,"1"
"city_21",0.624,"Female","No relevent experience","Full time course","Masters","STEM","5",NA,NA,NA,26,"1"
"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Pvt Ltd",NA,87,"1"
"city_103",0.92,"Other","Has relevent experience","no_enrollment","Graduate","STEM","19","10000+","Public Sector","4",52,"1"
"city_101",0.558,"Male","Has relevent experience","no_enrollment","Graduate","No Major","15",NA,NA,NA,20,"1"
"city_83",0.923,"Male","Has relevent experience","no_enrollment","Graduate","STEM","11",NA,"Pvt Ltd","1",21,"0"
"city_101",0.558,"Male","No relevent experience","no_enrollment","Graduate","STEM","4",NA,NA,"1",92,"1"
"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","100-500","Pvt Ltd","2",102,"0"
"city_105",0.794,"Male","No relevent experience","no_enrollment","Graduate","Humanities","5","10000+","Pvt Ltd",NA,26,"0"
"city_104",0.924,NA,"Has relevent experience","no_enrollment","Masters","STEM","3","<10","Early Stage Startup","2",7,"0"
"city_114",0.926,"Male","No relevent experience","Full time course","High School",NA,"4","10000+","Pvt Ltd","1",43,"0"
"city_104",0.924,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"100-500","Pvt Ltd","1",45,"0"
"city_73",0.754,"Male","Has relevent experience","Full time course","Graduate","STEM","2","50-99","Early Stage Startup","2",52,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,NA,NA,"2",19,"0"
"city_21",0.624,NA,"Has relevent experience","Full time course","Graduate","STEM","2",NA,"Funded Startup",NA,32,"1"
"city_162",0.767,"Male","Has relevent experience","no_enrollment","Graduate","Humanities",NA,"100-500","Pvt Ltd",NA,26,"1"
"city_67",0.855,"Male","Has relevent experience","Part time course","Graduate","STEM","6",NA,NA,"1",90,"0"
"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","3",25,"0"
"city_41",0.827,NA,"Has relevent experience",NA,"Masters","STEM","13","<10",NA,"1",15,"0"
"city_100",0.887,"Male","Has relevent experience","no_enrollment","Masters","Humanities",NA,"100-500","Pvt Ltd",NA,48,"0"
"city_11",0.55,NA,"No relevent experience","Full time course","High School",NA,"3",NA,NA,NA,98,"0"
"city_93",0.865,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","50-99","Pvt Ltd","2",142,"1"
"city_67",0.855,"Other","No relevent experience","no_enrollment","Masters","Humanities","4","10000+","Pvt Ltd","4",13,"0"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15",NA,NA,NA,47,"0"
"city_16",0.91,"Female","Has relevent experience","no_enrollment","Masters","Humanities","14","500-999","Public Sector","1",28,"0"
"city_90",0.698,NA,"No relevent experience",NA,NA,NA,"2",NA,"Pvt Ltd",NA,228,"1"
"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,NA,NA,"4",22,"0"
"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM",NA,NA,NA,NA,18,"1"
"city_13",0.827,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2",NA,"Pvt Ltd","1",29,"0"
"city_67",0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","100-500",NA,"1",46,"0"
"city_11",0.55,NA,"No relevent experience","Full time course","Graduate","STEM",NA,NA,NA,NA,12,"0"
"city_103",0.92,NA,"Has relevent experience","no_enrollment","Graduate","STEM","5","100-500","Pvt Ltd","2",17,"0"
"city_36",0.893,"Male","Has relevent experience","no_enrollment","Masters","STEM","5","50-99","Pvt Ltd","2",65,"0"
"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",35,"0"
"city_67",0.855,"Male","No relevent experience","Full time course","Graduate","STEM","9","10000+","Pvt Ltd","3",14,"0"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","2","<10","Early Stage Startup","1",4,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Pvt Ltd",NA,12,"0"
"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"50-99","Pvt Ltd","2",108,"0"
"city_103",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",NA,NA,NA,"1",136,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","5",NA,NA,"1",27,"0"
"city_20",0.796,NA,"Has relevent experience","Part time course","Masters","STEM","4","50-99","Funded Startup","1",74,"0"
"city_71",0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15",NA,"Early Stage Startup","1",86,"0"
"city_57",0.866,"Female","No relevent experience","Part time course","Graduate","STEM",NA,NA,"Pvt Ltd","2",83,"0"
"city_103",0.92,NA,"No relevent experience","Full time course","High School",NA,"4",NA,NA,"3",75,"0"
"city_152",0.698,"Male","No relevent experience","Full time course","Masters","STEM","11",NA,"Public Sector","2",42,"0"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500",NA,"1",332,"0"
"city_61",0.913,"Male","No relevent experience","Full time course","Graduate","STEM","4",NA,NA,NA,140,"0"
"city_16",0.91,"Male","No relevent experience","no_enrollment","High School",NA,"3",NA,NA,NA,182,"0"
"city_103",0.92,"Female","No relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",13,"1"
"city_19",0.682,NA,"Has relevent experience","no_enrollment","Graduate","STEM","5",NA,"Pvt Ltd","2",172,"1"
"city_103",0.92,NA,"Has relevent experience","no_enrollment","Graduate","STEM","10","100-500","NGO","1",48,"0"
"city_65",0.802,"Male","Has relevent experience","Full time course","Graduate","STEM","9","50-99","Pvt Ltd","1",33,"0"
"city_160",0.92,NA,"No relevent experience","Full time course","High School",NA,"2","100-500","Pvt Ltd","1",142,"0"
"city_74",0.579,NA,"No relevent experience","Full time course","Graduate","STEM","2","100-500","Pvt Ltd","1",34,"0"
"city_65",0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","2",14,"1"
"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6",NA,"Pvt Ltd","2",27,"1"
"city_11",0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","100-500","Pvt Ltd","1",24,"1"
"city_173",0.878,NA,"No relevent experience","no_enrollment","Masters","STEM",NA,NA,NA,"1",150,"0"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","500-999","NGO",NA,20,"0"
"city_103",0.92,NA,"Has relevent experience","no_enrollment","Graduate","STEM","5","500-999",NA,"1",140,"0"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","5000-9999","Pvt Ltd","1",52,"0"
"city_75",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"50-99","Pvt Ltd","2",160,"0"
"city_136",0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM","9","5000-9999","Pvt Ltd","2",3,"0"
"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","<10","Pvt Ltd","2",2,"1"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"1000-4999","Pvt Ltd",NA,28,"0"
"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","Other",NA,NA,NA,"4",46,"0"
"city_67",0.855,"Male","Has relevent experience","no_enrollment","Graduate","STEM","8","50-99","Pvt Ltd","1",210,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","<10","Pvt Ltd","1",36,"0"
"city_98",0.949,"Male","No relevent experience","Full time course","Graduate","STEM","4",NA,NA,"1",160,"1"
"city_21",0.624,"Male","Has relevent experience","Full time course","Graduate","STEM","2",NA,"NGO","2",101,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","6","50-99",NA,"1",46,"0"
"city_97",0.925,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"1000-4999","Pvt Ltd",NA,19,"0"
"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","100-500","Pvt Ltd","2",26,"1"
"city_90",0.698,NA,"Has relevent experience","Full time course","Graduate","STEM","7","<10","NGO","1",90,"0"
"city_50",0.896,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","<10","Pvt Ltd","4",59,"0"
"city_160",0.92,"Male","Has relevent experience","Part time course","Graduate","Business Degree","10","50-99","Funded Startup","1",260,"0"
"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","STEM","11","50-99","Pvt Ltd",NA,74,"0"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Phd","STEM",NA,"100-500","Pvt Ltd","2",20,"1"
"city_173",0.878,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","100-500","Pvt Ltd","2",8,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Pvt Ltd","1",131,"0"
"city_138",0.836,"Male","Has relevent experience","Full time course","Masters","STEM","7",NA,NA,"1",45,"0"
"city_82",0.693,"Male","Has relevent experience","Full time course","Graduate","STEM","11",NA,"Pvt Ltd","2",109,"0"
"city_67",0.855,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","3","100-500","Pvt Ltd","1",70,"0"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",NA,"100-500","NGO",NA,17,"0"
"city_103",0.92,"Female","No relevent experience","no_enrollment","Masters","STEM","15","50-99","Pvt Ltd","1",51,"0"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","3",60,"1"
"city_36",0.893,NA,"No relevent experience","no_enrollment","Phd","STEM",NA,"1000-4999","Public Sector",NA,4,"0"
"city_114",0.926,"Male","No relevent experience","no_enrollment","Graduate","STEM","12","100-500","Pvt Ltd",NA,7,"0"
"city_102",0.804,NA,"Has relevent experience","no_enrollment","Masters","STEM",NA,"100-500","Pvt Ltd","3",164,"0"
"city_64",0.666,"Male","Has relevent experience","no_enrollment","Graduate","STEM","20",NA,NA,"4",290,"0"
"city_102",0.804,"Male","No relevent experience","no_enrollment","High School",NA,"2","<10","NGO",NA,145,"0"
"city_103",0.92,NA,"No relevent experience","no_enrollment","Phd","STEM",NA,NA,NA,NA,70,"0"
"city_21",0.624,"Male","No relevent experience","no_enrollment",NA,NA,"3",NA,NA,"1",24,"0"
"city_103",0.92,"Male","No relevent experience","no_enrollment","Masters","Humanities","3","10000+","Pvt Ltd","1",133,"1"
"city_11",0.55,NA,"No relevent experience","Full time course","Graduate","STEM","2",NA,NA,"1",20,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","10","<10","Funded Startup","1",76,"0"
"city_90",0.698,"Female","No relevent experience","Full time course","Masters","STEM","5",NA,NA,"4",21,"1"
"city_21",0.624,"Female","Has relevent experience","no_enrollment","Graduate","Other","8","5000-9999","Pvt Ltd","2",34,"0"
"city_160",0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM","9","<10","Pvt Ltd","2",15,"0"
"city_57",0.866,"Male","No relevent experience","no_enrollment","Graduate","STEM",NA,NA,NA,NA,156,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"5000-9999","Pvt Ltd",NA,15,"0"
"city_114",0.926,NA,"Has relevent experience","no_enrollment","Masters","STEM",NA,NA,NA,NA,120,"0"
"city_157",0.769,NA,"Has relevent experience","no_enrollment","Graduate","No Major","14","10000+",NA,NA,47,"0"
"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12",NA,NA,"2",100,"1"
"city_67",0.855,"Male","Has relevent experience","Part time course","Graduate","STEM","6","500-999","Pvt Ltd",NA,102,"0"
"city_103",0.92,"Male","No relevent experience","no_enrollment","High School",NA,"4",NA,NA,NA,52,"0"
"city_114",0.926,NA,"Has relevent experience","no_enrollment","High School",NA,"9",NA,NA,"4",39,"0"
"city_103",0.92,"Male","Has relevent experience","Full time course","High School",NA,"4",NA,NA,"1",112,"1"
"city_103",0.92,"Male","No relevent experience","no_enrollment","Phd","STEM",NA,"50-99","Pvt Ltd",NA,14,"0"
"city_16",0.91,NA,"Has relevent experience","no_enrollment",NA,NA,"11",NA,NA,"1",4,"0"
"city_16",0.91,NA,"Has relevent experience","no_enrollment","Masters","Arts",NA,"1000-4999","NGO",NA,55,"0"
"city_21",0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","10000+","Pvt Ltd","4",49,"1"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15",NA,NA,NA,72,"0"
"city_89",0.925,"Male","Has relevent experience","Full time course","Graduate","STEM","14","5000-9999","Pvt Ltd","3",141,"1"
"city_114",0.926,"Male","No relevent experience","no_enrollment","High School",NA,"6",NA,"Pvt Ltd",NA,28,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","10000+","Pvt Ltd","1",6,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","No Major","17","5000-9999","Pvt Ltd","1",125,"0"
"city_75",0.939,NA,"Has relevent experience","no_enrollment","Graduate","STEM",NA,NA,NA,NA,326,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Other",NA,"100-500","Pvt Ltd","2",33,"0"
"city_102",0.804,NA,"No relevent experience","no_enrollment","Masters","STEM","6","10000+","Pvt Ltd",NA,40,"0"
"city_160",0.92,NA,"Has relevent experience","no_enrollment","Graduate","STEM","18",NA,NA,"1",198,"1"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Masters","STEM","15","10000+","Pvt Ltd",NA,55,"0"
"city_150",0.698,"Male","No relevent experience","no_enrollment","Graduate","STEM",NA,"500-999","Pvt Ltd",NA,32,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Arts",NA,"100-500","Pvt Ltd",NA,11,"0"
"city_73",0.754,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"<10","Pvt Ltd","1",41,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,"10000+","Public Sector",NA,87,"1"
"city_67",0.855,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","100-500","Pvt Ltd","4",114,"0"
"city_70",0.698,NA,"Has relevent experience",NA,NA,NA,NA,NA,NA,NA,33,"0"
"city_90",0.698,"Male","Has relevent experience","Part time course","Masters","STEM","5","<10","Early Stage Startup","1",15,"0"
"city_16",0.91,NA,"No relevent experience","Full time course","High School",NA,"3",NA,NA,"1",8,"0"
"city_173",0.878,"Female","Has relevent experience","Part time course","High School",NA,"2","100-500","NGO","1",22,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,"5000-9999","Pvt Ltd","4",13,"0"
"city_98",0.949,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"<10","Public Sector","1",246,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM","9",NA,"Pvt Ltd","1",22,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,"<10","Funded Startup","1",81,"0"
"city_175",0.776,NA,"Has relevent experience","Full time course","Graduate","STEM","4",NA,"Funded Startup","1",11,"0"
"city_94",0.698,"Male","No relevent experience","Full time course","Graduate","STEM","5","5000-9999",NA,NA,24,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"100-500","Funded Startup","1",50,"0"
"city_104",0.924,"Male","No relevent experience","Full time course","High School",NA,"6",NA,NA,NA,15,"0"
"city_28",0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,NA,"Pvt Ltd",NA,31,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,"50-99","Pvt Ltd",NA,84,"0"
"city_136",0.897,"Male","Has relevent experience","Part time course","Graduate","STEM","4","10000+","Pvt Ltd","1",42,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Graduate","STEM","10",NA,"Pvt Ltd",NA,105,"1"
"city_103",0.92,"Female","Has relevent experience","no_enrollment","Graduate","STEM",NA,"50-99","Pvt Ltd",NA,72,"0"
"city_115",0.789,"Male","Has relevent experience","no_enrollment","Graduate","STEM","14",NA,"Pvt Ltd",NA,42,"1"
"city_94",0.698,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Early Stage Startup","1",152,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","12","10000+","Pvt Ltd","1",60,"0"
"city_21",0.624,"Male","No relevent experience","Full time course","Masters","STEM","2",NA,NA,NA,8,"0"
"city_16",0.91,"Male","No relevent experience","Full time course","Masters","STEM","13",NA,NA,"3",17,"1"
"city_83",0.923,"Male","No relevent experience","no_enrollment","High School",NA,"1",NA,NA,"1",33,"0"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Masters","STEM","4","100-500","Funded Startup",NA,38,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","Humanities","14","<10","Early Stage Startup","2",178,"0"
"city_160",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","15","50-99","Pvt Ltd","1",11,"0"
"city_36",0.893,"Male","Has relevent experience","no_enrollment","High School",NA,NA,NA,NA,NA,87,"0"
"city_65",0.802,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13",NA,NA,NA,84,"0"
"city_71",0.884,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"100-500","Early Stage Startup","2",32,"0"
"city_100",0.887,NA,"Has relevent experience","no_enrollment","Masters","STEM","9","100-500","Pvt Ltd","1",31,"1"
"city_21",0.624,"Male","No relevent experience","no_enrollment","Graduate","STEM","2","500-999","Public Sector","1",39,"0"
"city_59",0.775,NA,"Has relevent experience","no_enrollment","Graduate","STEM","7",NA,"Pvt Ltd","1",12,"0"
"city_21",0.624,NA,"Has relevent experience","Full time course","Graduate","STEM","5","10000+","Pvt Ltd","1",50,"0"
"city_165",0.903,"Male","Has relevent experience","no_enrollment","Graduate","STEM","3","100-500","Pvt Ltd","1",55,"1"
"city_11",0.55,NA,"Has relevent experience","no_enrollment","Graduate","STEM","5","50-99","Pvt Ltd",NA,7,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","Humanities","2","50-99","Early Stage Startup","1",104,"0"
"city_160",0.92,NA,"Has relevent experience","Full time course","Graduate","Business Degree",NA,NA,NA,NA,90,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","Other",NA,"100-500","Pvt Ltd",NA,8,"0"
"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","2",NA,NA,NA,102,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Masters","STEM",NA,NA,"Pvt Ltd","1",202,"1"
"city_145",0.555,NA,"Has relevent experience","no_enrollment","Graduate","STEM","4","100-500","Pvt Ltd","1",22,"0"
"city_21",0.624,"Male","No relevent experience","Full time course","Graduate","STEM","3",NA,"Pvt Ltd",NA,42,"0"
"city_160",0.92,NA,"No relevent experience","no_enrollment","Primary School",NA,"4",NA,"Pvt Ltd",NA,50,"0"
"city_21",0.624,"Male","Has relevent experience","no_enrollment","Masters","STEM","3","50-99","Funded Startup","1",88,"0"
"city_73",0.754,NA,"Has relevent experience","no_enrollment","Graduate","STEM","5","1000-4999","Pvt Ltd","4",81,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",NA,"10000+","Pvt Ltd","1",7,"0"
"city_21",0.624,"Male","No relevent experience","no_enrollment",NA,NA,"3",NA,"Pvt Ltd",NA,218,"0"
"city_16",0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"10000+","Pvt Ltd",NA,62,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","50-99","Pvt Ltd","1",83,"0"
"city_28",0.939,"Male","Has relevent experience","no_enrollment","Graduate","STEM","9","1000-4999","Pvt Ltd",NA,11,"0"
"city_114",0.926,"Male","No relevent experience","Part time course","Phd","STEM",NA,"50-99",NA,NA,10,"0"
"city_28",0.939,"Male","Has relevent experience","no_enrollment","Masters","STEM","10","1000-4999","Pvt Ltd","1",114,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Masters","STEM","3","50-99","Pvt Ltd","1",36,"0"
"city_102",0.804,NA,"No relevent experience",NA,"Masters","STEM","6",NA,"Pvt Ltd","1",17,"0"
"city_16",0.91,"Male","No relevent experience","Full time course","Graduate","STEM","2",NA,NA,NA,80,"1"
"city_160",0.92,"Male","Has relevent experience","Part time course","Graduate","STEM",NA,"50-99","Public Sector",NA,108,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","2","100-500","Pvt Ltd","2",45,"0"
"city_103",0.92,"Male","No relevent experience","Full time course","Graduate","STEM","5",NA,NA,NA,77,"0"
"city_114",0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM","15","100-500","Pvt Ltd","2",8,"0"
"city_173",0.878,NA,"No relevent experience","no_enrollment","Graduate","STEM","5",NA,NA,"1",28,"0"
"city_142",0.727,"Female","Has relevent experience","no_enrollment","Graduate","STEM","9","100-500","Funded Startup",NA,37,"0"
"city_16",0.91,NA,"No relevent experience","Full time course","Graduate","STEM","2",NA,NA,"2",108,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","13","500-999","Pvt Ltd","2",162,"0"
"city_73",0.754,NA,"Has relevent experience","Full time course","High School",NA,"9",NA,NA,NA,41,"0"
"city_165",0.903,"Male","Has relevent experience","no_enrollment","Masters","STEM","19","100-500","Pvt Ltd","4",4,"0"
"city_71",0.884,"Female","No relevent experience","no_enrollment","Phd","STEM","3","1000-4999","Public Sector","1",41,"0"
"city_165",0.903,NA,"Has relevent experience","no_enrollment","Graduate","STEM","17","10000+","Pvt Ltd","2",12,"0"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",NA,"50-99","Pvt Ltd","1",190,"0"
"city_21",0.624,NA,"Has relevent experience","no_enrollment","Graduate","STEM","7","50-99","Pvt Ltd",NA,29,"1"
"city_103",0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM","6","100-500","Public Sector","1",11,"0"
"city_103",0.92,"Male","No relevent experience","Full time course","High School",NA,"3","10000+","Pvt Ltd","1",30,"0"
